schooldistance,address,schoolrating
2.2,7810 Dadiva Ct,9
1.1,5832 Terravista Dr,9
2.7,8409 Calera Dr,9
3.6,Wimberly Cv,9
2.8,8108 Navidad Dr,9
2.1,4500 Peralta Ln,9
2.1,Lost Creek Blvd,9
2.5,7316 Highland Bluff Cv # C-5,9
0.9,5713 Terravista Dr,9
1.9,4700 Trail West Dr,9
2.7,2908 Navidad Cv,9
2.5,8500 Carranzo Dr,9
1.6,5004 Calhoun Canyon Loop,9
2.4,7710 Sandia Loop,9
1.4,7813 Meloncon Cv,9
0.8,5658 Oak Blvd # 0,9
2.0,7828 Escala Dr,9
2.5,4416 Amarra Dr,9
3.0,3200 Bratton Heights Dr,7
2.4,3618 Kennedy Grace Ln,7
1.1,7321 Morning Sunrise Cv,9
5.6,15012 Haley Holw,7
4.4,4611 Belfield Ln,4
3.7,14609 Menifee St,4
3.7,Veldt Dr,9
2.4,8213 Carranzo Dr,9
4.4,4610 Senda Ln,4
3.9,3708 Sojourner St,4
0.4,4 Cloverbrook Ct,10
0.6,118 Schooner Dr,10
2.1,5729 Krause Ln APT 19,10
0.3,23 Lost Meadow Trl,10
0.6,203 Rocky Coast Dr,10
0.7,30 Club Estates Pkwy # A-2,10
1.3,204 Everton Cv,10
1.1,15204 Cabrillo Way,10
0.9,1611 Palisades Pointe Ln,10
2.0,11705 Yaupon Holly Ln,10
1.1,5421 Cherokee Draw Rd,10
0.4,11604 Emerald Falls Dr,10
1.7,16033 Cinca Terra Dr,10
0.6,11906 Colleyville Dr,10
0.9,8 Tournament Way UNIT 14,10
1.5,402 Black Wolf Run,10
1.3,102 Bella Colinas Dr,10
1.3,204 Everton Cv,10
1.3,204 Everton Cv,10
1.1,15204 Cabrillo Way,10
1.1,15204 Cabrillo Way,10
0.6,103 Double Eagle Dr # 103,10
1.7,16033 Cinca Terra Dr,10
1.7,16033 Cinca Terra Dr,10
1.7,16033 Cinca Terra Dr,10
1.7,16033 Cinca Terra Dr,10
1.1,15204 Cabrillo Way,10
1.1,15204 Cabrillo Way,10
1.3,204 Everton Cv,10
1.3,204 Everton Cv,10
1.7,16033 Cinca Terra Dr,10
1.7,16033 Cinca Terra Dr,10
1.7,16033 Cinca Terra Dr,10
1.1,15517 Cinca Terra Dr,10
2.1,4308 Falcon Head Nest Dr,10
1.1,15513 Cinca Terra Dr,10
1.6,5416 Castana Bnd,10
1.1,15204 Cabrillo Way,10
2.4,4313 Tambre Bnd,10
1.4,17 Monarch Oaks Ln,10
1.0,Tournament Way,10
2.4,Comanche Divide Cv,10
0.3,11710 Astoria Dr,10
0.7,12034 Pleasant Panorama Vw,10
1.7,16033 Cinca Terra Dr,10
0.5,3900 Serene Hills Dr,10
1.7,16033 Cinca Terra Dr,10
1.7,16033 Cinca Terra Dr,10
0.9,206 Neville Wood Ct,10
1.7,16033 Cinca Terra Dr,10
1.9,12413 Cherry Laurel Terrace,10
1.7,16033 Cinca Terra Dr,10
1.7,16033 Cinca Terra Dr,10
1.8,5605 Siracusa Drive,10
1.1,15204 Cabrillo Way,10
1.7,16033 Cinca Terra Dr,10
1.7,16033 Cinca Terra Dr,10
1.3,204 Everton Cv,10
0.5,108 Schooner Dr,10
1.5,13200 Bee Cave Pkwy # 32,10
1.9,5724 Spanish Oaks Club Blvd,10
2.0,4204 Hookbilled Kite,10
0.9,117 Black Wolf Run,10
1.5,13200 Bee Cave Pkwy # 31 W,10
2.0,4008 Coopers Hawk Cv,10
2.0,12100 Rayner Pl,10
1.0,18509 Mckay Cv,10
1.5,414 Maialina Cv,10
1.5,13200 Bee Cave Pkwy # 31 W,10
1.4,5217 Castana Bnd,10
1.9,12424 Cherry Laurel Ter,10
1.3,5509 Brady Bayou Cv,10
1.5,15804 Cinca Terra Dr,10
1.6,12221 Musket Rim St,10
1.3,507 Bowcross Pt,10
1.3,107 Bella Colinas Dr,10
1.7,15716 De Fortuna Dr,10
1.0,102 Edinburgh Isle Ct,10
1.0,1515 Resaca Blvd APT 1,10
1.2,501 Barolo Cv,10
1.0,18509 Mckay Cv,10
1.2,508 Summer Wilson Cv,10
0.8,15021 W State Highway 71,10
2.0,(M) 16036 La Rosa Drive Model # X6SAOD,10
1.3,904 Sweet Grass Ln,10
1.9,15604 Spillman Ranch Loop,10
0.6,318 Maxwell Way # 12,10
2.1,15000 Falconhead Grove Loop,10
1.5,13200 Bee Cave Pkwy # 31 W,10
1.6,5413 Castana Bnd,10
1.0,16000 Villa Frontera Dr,10
1.9,15912 Villa Frontera Dr,10
0.4,8 Dewdrop Cv,10
1.1,15204 Cabrillo Way,10
1.3,1011 Crestone Stream Dr,10
1.9,5600 Spanish Oaks Club Blvd,10
1.6,15932 Cinca Terra Dr,10
0.7,12325 Pleasant Hill Ct,10
1.7,16033 Cinca Terra Dr,10
1.2,501 Barolo Cv,10
1.9,13400 Overland Pass,10
0.2,3104 Hayden Bnd,10
1.2,501 Barolo Cv,10
0.6,103 Double Eagle Dr # 103,10
1.8,5625 Siragusa Dr,10
2.0,(M) 16036 La Rosa Drive Model # X6SAOD,10
1.2,1110 Crestone Stream Dr,10
1.9,5713 Viejo Dr,10
1.7,16033 Cinca Terra Dr,10
1.9,18416 Mcgloin Trl,10
2.7,4705 Gallego Cir,10
2.1,203 Maxwell Way,10
1.0,103 Pierce Range Rd,10
1.3,207 Enchanted Hilltop Way,10
1.6,11513 Warbler Ledge,10
0.2,190 World Of Tennis Sq # C-20,10
1.9,15900 Spillman Ranch Loop,10
0.9,304 Enchanted Hilltop Way,10
0.9,3 Tiburon Dr,10
1.7,16033 Cinca Terra Dr,10
1.1,15204 Cabrillo Way,10
1.7,16033 Cinca Terra Dr,10
1.7,16033 Cinca Terra Dr,10
1.0,5529 Brady Bayou Cv,10
2.5,13506 Golden Wave Loop # 52,10
1.2,4721 Monte Carmelo Pl,10
1.4,312 Coopers Crown Ln,10
1.7,16033 Cinca Terra Dr,10
2.1,15313 Falconhead Grove Loop,10
0.8,28 Hightrail Way,10
1.9,4712 Pecan Chase,10
1.1,18105 Heard Loop,10
1.9,4716 Pecan Chase,10
1.7,16033 Cinca Terra Dr,10
0.9,5 Championship Dr,10
1.3,807 Kenspur Ln,10
1.4,408 Bowcross Pt,10
1.7,16033 Cinca Terra Dr,10
0.7,66 Tiburon Dr,10
0.3,3004 Napa Dr,10
1.0,18509 Mckay Cv,10
1.9,15900 Villa Frontera Dr,10
1.0,5529 Brady Bayou Cv,10
2.6,Verde Mesa Cv,10
1.2,Flint Rock Rd,10
0.7,121 Kildrummy Ln,10
2.1,4513 Bat Falcon Dr,10
1.5,15816 Cinca Terra Dr,10
1.0,109 Golden Bear Cv,10
0.6,347 The Hills Dr # 2,10
1.2,501 Barolo Cv,10
1.5,15816 Cinca Terra Dr,10
1.3,14609 Hamilton Pool Rd,10
2.0,15609 Cabrillo Way,10
1.5,303 Lodestone Ln,10
1.5,303 Lodestone Ln,10
1.5,15816 Cinca Terra Dr,10
0.4,408 Luna Vista Dr,10
1.9,4300 Hennig Dr,10
1.3,520 Golden Bear Dr,10
1.0,201 Neville Wood Ct,10
2.3,14404 Piper Glen Dr,10
1.6,12200 Musket Rim St,10
1.1,19 Stillmeadow Dr,10
1.5,5106 Long Arrow Cyn,10
1.2,501 Barolo Cv,10
1.5,15816 Cinca Terra Dr,10
1.7,104 Burgess Ln,10
1.5,303 Lodestone Ln,10
1.4,409 Enchanted Hilltop Way,10
1.7,234 Aria Rdg # 102,10
1.1,6613 Davenport Divide Rd,10
1.3,4801 Paraiso Pkwy,10
2.0,12717 Little Blue Stem Cv,10
1.3,11419 Musket Rim St,10
0.7,3920 Serene Hills Dr,10
1.6,310 Duckhorn Pass,10
1.2,204 Tempranillo Way,10
0.8,12002 Pleasant Panorama Vw,10
1.1,15204 Cabrillo Way,10
0.7,112 Kildrummy Ln,10
1.5,303 Lodestone Ln,10
1.5,303 Lodestone Ln,10
1.4,205 Woodlands Ct,10
1.5,303 Lodestone Ln,10
1.6,5413 Castana Bnd,10
0.9,3 Championship Dr,10
0.7,306 Nautilus Ave,10
1.3,(Undisclosed Address),10
0.8,4303 Travis Vista Dr,10
2.4,3828 Vinalopo Dr,10
1.9,5713 Viejo Dr,10
0.2,145 World Of Tennis Sq,10
1.1,206 Golden Bear Dr,10
0.8,306 Duffy Ln,10
0.6,103 Rudder Dr,10
0.9,1610 Palisades Pointe Ln,10
1.1,45 Treehaven Ct # 3,10
0.5,13 Hedgebrook Way,10
0.9,221 Neville Wood Ct,10
2.0,5608 Laceback Ter,10
2.1,5729 Krause Ln APT 4A,10
1.3,4805 Paraiso Pkwy,10
2.0,(Undisclosed Address),10
0.6,303 The Hills Dr,10
0.7,12 Parkside Rd,10
1.7,219 Black Wolf Run,10
2.2,5808 Krause Ln,10
2.0,13005 Little Barton Ln,10
1.3,11632 Musket Rim St,10
1.3,213 Serene Hilltop Cir,10
0.4,11529 Emerald Falls Dr,10
1.3,211 Serene Hilltop Cir,10
0.7,45 Tiburon Dr,10
1.8,5645 Siragusa Dr,10
1.9,16111 Goldstrum Trl # 51,10
1.4,211 Woodlands Ct,10
2.0,Emory Oak Ln,10
2.5,3612 Royal Sage Dr # 25,10
2.3,3916 Sugarloaf Dr,10
1.9,16300 Steven Wayne Ct,10
1.7,16109 Rockies Run Smt,10
0.9,203 Tavish Trl,10
1.1,5212 Palermo Dr,10
1.2,4709 Monte Carmelo Pl,10
0.8,12010 Pleasant Panorama Vw,10
1.7,5216 Musket Cv,10
1.7,16033 Cinca Terra Dr,10
1.7,16033 Cinca Terra Dr,10
1.7,16033 Cinca Terra Dr,10
1.8,5629 Siragusa Dr,10
1.7,16033 Cinca Terra Dr,10
1.5,303 Lodestone Ln,10
1.7,16033 Cinca Terra Dr,10
1.3,16012 Zagros Way,10
0.8,5 Gentlebrook Bnd,10
1.4,206 Bella Colinas Dr,10
1.1,4533 Pyrenees Pass,10
2.1,5729 Krause Ln APT 4A,10
1.3,101 Porto Cima Ct,10
1.5,13200 Bee Cave Pkwy # 31 W,10
1.2,521 Baldovino Skwy,10
1.2,5216 Palermo Dr,10
0.3,11812 Uplands Ridge Dr,10
1.9,15912 Villa Frontera Dr,10
1.4,208 Cabo Del Sol Cv,10
0.8,15021 W Hwy 71,10
1.5,509 Forza Viola Way,10
1.0,18509 Mckay Cv,10
1.9,7201 Davenport Divide Rd,10
0.2,12029 Tulare Dr,10
1.6,12216 Musket Rim St,10
0.3,41 Lost Meadow Trl,10
0.6,105 Nautilus Ave,10
2.6,2758 Banning Tx,10
1.9,105 Tonkawa Rdg,10
1.9,15300 Snowmass Hts,10
0.9,35 Waterfall Dr,10
0.9,6 Chardon Ct,10
1.3,204 Everton Cv,10
1.5,16104 Maritime Alps Way,10
1.7,16033 Cinca Terra Dr,10
1.1,15204 Cabrillo Way,10
0.2,203 World Of Tennis Sq,10
0.7,52 Tiburon Dr,10
1.1,15204 Cabrillo Way,10
1.7,16033 Cinca Terra Dr,10
1.7,115 Aria Rdg,10
1.0,18509 Mckay Cv,10
1.9,7117 Davenport Divide Rd,10
1.7,16317 Rockies Run Smt,10
0.3,9 Butterfly Pl,10
1.7,16033 Cinca Terra Dr,10
0.7,136 Double Eagle Dr,10
1.7,16033 Cinca Terra Dr,10
1.7,16033 Cinca Terra Dr,10
1.0,16000 Villa Frontera Dr,10
1.1,4517 Pyrenees Pass,10
0.9,1 Tiburon Dr,10
